collected 9587 entries in the hash table
cpu 0 insns: 1177965878
cpu 0 vinsns: 48530260
total insns: 1177965878
total vinsns: 48530260
pc, tcount, vcount, vlscount, icount, ecount
0x000000000006b86e, 9, 0, 0, 2, 2243778
0x000000000006b890, 9, 0, 0, 5, 2243778
0x000000000006b872, 9, 0, 0, 2, 2243757
0x000000000006b876, 9, 0, 0, 4, 2225600
0x000000000006b89c, 8, 0, 0, 4, 2027312
0x000000000011333a, 4, 0, 0, 6, 1766243
0x000000000005b648, 7, 0, 0, 4, 1766142
0x000000000005b652, 7, 0, 0, 2, 1766142
0x000000000005b656, 7, 0, 0, 1, 1766142
0x000000000005b694, 7, 1, 0, 3, 1766142
0x000000000005b69c, 1, 1, 1, 2, 1766142
0x000000000005b6a2, 1, 1, 1, 2, 1766142
0x000000000005b6a8, 1, 2, 0, 3, 1766142
0x000000000005b6b4, 1, 2, 0, 3, 1766142
0x000000000005b6c0, 1, 0, 0, 5, 1766142
0x0000000000113336, 4, 0, 0, 1, 1618990
0x000000000001d2be, 4, 0, 0, 7, 1471760
0x000000000001d2ce, 4, 0, 0, 5, 1471760
0x000000000006b88e, 9, 0, 0, 1, 1458089
0x000000000006b882, 9, 0, 0, 3, 1458068
0x000000000006b8a4, 9, 0, 0, 4, 1458068
0x0000000000062616, 5, 0, 0, 6, 1331348
0x000000000006263e, 5, 0, 0, 6, 1331348
0x000000000006747e, 6, 0, 0, 8, 1213412
0x0000000000067470, 6, 0, 0, 6, 1213412
0x0000000000067490, 6, 0, 0, 3, 1213412
0x00000000000674da, 6, 0, 0, 5, 1213412
0x00000000000674e6, 6, 0, 0, 2, 1213412
0x00000000000674fe, 6, 0, 0, 3, 1213412
0x0000000000047558, 5, 0, 0, 2, 1213412
0x000000000004755e, 5, 0, 0, 2, 1213412
0x000000000004756c, 6, 0, 0, 1, 1213412
0x0000000000047570, 6, 0, 0, 5, 1213412
0x000000000006759e, 6, 0, 0, 11, 1213412
0x00000000000625e6, 5, 0, 0, 3, 1213412
0x00000000000625f2, 5, 0, 0, 13, 1213412
0x0000000000062698, 5, 0, 0, 2, 1213412
0x000000000004f820, 5, 0, 0, 7, 1213412
0x000000000004f832, 5, 0, 0, 3, 1213412
0x00000000000626d8, 5, 0, 0, 7, 1213412
0x00000000000626ec, 5, 0, 0, 2, 1213412
0x00000000000626f2, 5, 0, 0, 3, 1213412
0x00000000000626fa, 5, 0, 0, 7, 1213412
0x0000000000063868, 5, 0, 0, 16, 1213412
0x000000000006388e, 5, 0, 0, 4, 1213412
0x000000000006395a, 5, 0, 0, 2, 1213412
0x0000000000063962, 5, 0, 0, 4, 1213412
0x0000000000063976, 5, 0, 0, 5, 1213412
0x0000000000063980, 5, 0, 0, 15, 1213412
0x0000000000047564, 5, 0, 0, 2, 1213411
0x000000000004f83c, 5, 0, 0, 2, 1213411
0x000000000004f840, 5, 0, 0, 3, 1213411
0x0000000000070bc0, 1, 0, 0, 3, 1105414
0x0000000000111a6e, 12, 0, 0, 7, 1031650
0x0000000000111a84, 12, 0, 0, 4, 1031650
0x0000000000111a80, 12, 0, 0, 1, 1031649
0x0000000000111aa0, 12, 0, 0, 3, 1031649
0x0000000000111b7c, 12, 0, 0, 3, 1031641
0x0000000000111a90, 12, 0, 0, 6, 1031307
0x000000000005b644, 1, 0, 0, 1, 1030249
0x000000000005b65c, 1, 0, 0, 2, 1030249
0x0000000000055f80, 1, 0, 0, 10, 1030237
0x0000000000055fa4, 1, 0, 0, 2, 1030237
0x000000000005603c, 1, 0, 0, 3, 1030237
0x0000000000056046, 1, 0, 0, 3, 1030237
0x000000000005e3d0, 1, 0, 0, 2, 967989
0x0000000000041e7c, 8, 0, 0, 1, 920484
0x0000000000111faa, 8, 0, 0, 11, 920459
0x0000000000111fa8, 8, 0, 0, 1, 920459
0x0000000000111fcc, 8, 0, 0, 3, 920459
0x0000000000111fd4, 8, 0, 0, 4, 920459
0x0000000000111ff8, 8, 0, 0, 3, 920459
0x0000000000112000, 8, 0, 0, 7, 920459
0x000000000010fe34, 8, 0, 0, 7, 920459
0x000000000010fe4a, 8, 0, 0, 2, 920459
0x000000000010fe52, 8, 0, 0, 2, 920459
0x000000000010fe58, 8, 0, 0, 3, 920459
0x000000000010fe62, 8, 0, 0, 4, 920459
0x000000000010fe70, 8, 0, 0, 6, 920459
0x000000000010fe86, 8, 0, 0, 6, 920452
0x000000000010fe9e, 8, 0, 0, 3, 920452
0x0000000000041e7e, 8, 0, 0, 3, 920450
0x0000000000041e86, 8, 0, 0, 3, 920450
0x0000000000041e90, 8, 0, 0, 3, 920450
0x000000000006fa8a, 6, 0, 0, 1, 919671
0x000000000006fa96, 7, 0, 0, 1, 919067
0x000000000006fa9a, 7, 1, 0, 2, 919067
0x000000000006faa0, 1, 2, 1, 14, 919067
0x000000000006fad0, 1, 0, 0, 1, 919067
0x000000000006fad4, 1, 0, 0, 2, 919067
0x000000000006fb42, 1, 0, 0, 3, 919067
0x000000000010ff22, 8, 0, 0, 3, 915365
0x0000000000111b86, 9, 0, 0, 4, 913227
0x0000000000111b94, 9, 0, 0, 12, 913227
0x000000000010ffa6, 8, 0, 0, 10, 909654
0x000000000005b6e8, 6, 0, 0, 4, 883126
0x000000000005b6f2, 6, 0, 0, 2, 883124
0x000000000005b6f6, 6, 0, 0, 1, 883124
0x000000000005b724, 6, 1, 0, 3, 883124
0x000000000005b72c, 1, 1, 1, 2, 883124
0x000000000005b732, 1, 1, 1, 2, 883124
0x000000000005b738, 1, 2, 0, 3, 883124
0x000000000005b744, 1, 2, 0, 3, 883124
0x000000000005b750, 1, 0, 0, 5, 883124
0x000000000005b664, 1, 0, 0, 1, 883069
0x000000000005b66e, 1, 0, 0, 3, 883069
0x0000000000055fb0, 1, 0, 0, 2, 883061
0x000000000006f4a4, 4, 0, 0, 8, 883056
0x000000000006f4b6, 4, 0, 0, 6, 883056
0x000000000006f4cc, 4, 0, 0, 2, 883056
0x000000000006f4d2, 4, 0, 0, 2, 883056
0x000000000006f4d6, 4, 0, 0, 10, 883056
0x000000000006f4f6, 4, 0, 0, 2, 883056
0x000000000006f516, 4, 0, 0, 7, 883056
0x0000000000062650, 5, 0, 0, 2, 843486
0x0000000000062658, 5, 0, 0, 9, 843485
0x0000000000041dcc, 12, 0, 0, 1, 842535
0x0000000000041dce, 12, 0, 0, 5, 842486
0x0000000000041ddc, 12, 0, 0, 4, 842486
0x0000000000041dda, 12, 0, 0, 1, 842486
0x000000000006262a, 5, 0, 0, 6, 841917
0x000000000005e3d6, 1, 0, 0, 5, 787662
0x000000000006b87e, 6, 0, 0, 5, 785689
0x000000000006b88a, 6, 0, 0, 2, 785689
0x000000000005b636, 7, 0, 0, 3, 735893
0x000000000005b642, 7, 0, 0, 2, 735893
0x000000000005b678, 1, 0, 0, 1, 735893
0x000000000005b6d0, 1, 0, 0, 1, 735893
0x000000000005e2ec, 1, 0, 0, 7, 735885
0x000000000005e2fe, 1, 0, 0, 6, 735885
0x000000000005e310, 1, 0, 0, 16, 735885
0x000000000005e3a8, 1, 0, 0, 2, 735885
0x000000000005e3ae, 1, 0, 0, 3, 735885
0x000000000005e42c, 1, 0, 0, 3, 735885
0x000000000005e436, 1, 0, 0, 1, 735885
0x000000000005eac0, 6, 0, 0, 12, 735885
0x000000000005eada, 1, 0, 0, 3, 735885
0x000000000005eae2, 1, 0, 0, 2, 735885
0x000000000005eaea, 1, 0, 0, 4, 735885
0x000000000005eaf6, 1, 0, 0, 3, 735885
0x000000000005eb02, 1, 0, 0, 1, 735885
0x000000000005eb06, 1, 0, 0, 2, 735885
0x000000000005eb0a, 1, 0, 0, 2, 735885
0x000000000005eb12, 1, 0, 0, 2, 735885
0x000000000005eb1e, 1, 0, 0, 10, 735885
0x000000000005eb40, 1, 0, 0, 8, 735885
0x000000000005eb54, 1, 0, 0, 2, 735885
0x000000000005eb58, 1, 0, 0, 3, 735885
0x000000000005eb86, 1, 0, 0, 4, 735885
0x000000000005eb8e, 1, 0, 0, 3, 735885
0x000000000005604c, 1, 0, 0, 12, 735885
0x000000000005e3b8, 1, 0, 0, 8, 735884
0x0000000000020b7c, 5, 0, 0, 6, 735882
0x0000000000020b8c, 5, 0, 0, 4, 735882
0x000000000005eb96, 1, 0, 0, 6, 735881
0x0000000000020b96, 4, 0, 0, 1, 735880
0x0000000000020b9a, 4, 0, 0, 2, 735880
0x0000000000020baa, 4, 0, 0, 7, 735880
0x0000000000020f46, 4, 0, 0, 7, 735880
0x0000000000070ada, 12, 0, 0, 1, 590111
0x0000000000068a30, 8, 0, 0, 9, 589205
0x0000000000068a58, 8, 0, 0, 2, 589205
0x0000000000068a5c, 8, 0, 0, 2, 589197
0x0000000000068a74, 8, 0, 0, 3, 589197
0x0000000000068a6c, 8, 0, 0, 3, 589139
0x0000000000068ad6, 8, 0, 0, 3, 589138
0x0000000000068a48, 8, 0, 0, 5, 589001
0x000000000005b6fc, 1, 0, 0, 2, 588754
0x000000000005b704, 1, 0, 0, 1, 588750
0x000000000005b70e, 1, 0, 0, 3, 588750
0x000000000005b6e4, 2, 0, 0, 1, 588738
0x0000000000068adc, 8, 0, 0, 4, 588735
0x000000000005b66a, 1, 0, 0, 2, 588709
0x000000000005e404, 1, 0, 0, 8, 554476
0x000000000005e458, 1, 0, 0, 4, 554475
0x0000000000070bcc, 1, 0, 0, 3, 552707
0x0000000000070bd8, 1, 1, 0, 7, 552707
0x0000000000070bee, 1, 1, 1, 2, 552707
0x0000000000070bf4, 1, 1, 1, 2, 552707
0x0000000000070bfa, 1, 2, 0, 3, 552707
0x0000000000070c06, 1, 2, 0, 3, 552707
0x0000000000070c12, 1, 0, 0, 5, 552707
0x0000000000070c22, 1, 0, 0, 3, 552707
0x0000000000070c2e, 1, 0, 0, 3, 552707
0x0000000000070c36, 1, 0, 0, 3, 552707
0x0000000000070c3e, 1, 0, 0, 1, 552707
0x000000000006fadc, 1, 0, 0, 16, 552707
0x0000000000070c42, 1, 0, 0, 4, 552707
0x0000000000070c60, 1, 0, 0, 2, 552707
0x0000000000070c6e, 1, 0, 0, 2, 552707
0x0000000000070c76, 1, 1, 0, 6, 552707
0x000000000006fb02, 1, 0, 0, 3, 552707
0x000000000006fb08, 1, 0, 0, 4, 552707
0x0000000000070c8a, 1, 1, 1, 2, 552707
0x0000000000070c90, 1, 1, 1, 2, 552707
0x0000000000070c96, 1, 2, 0, 3, 552707
0x0000000000070ca2, 1, 2, 0, 3, 552707
0x0000000000070cae, 1, 0, 0, 5, 552707
